ICAO,Name,State/Territory,Country,Timezone
UDYZ,Zvartnots International Airport,,Armenia,Asia/Yerevan
ZUYB,Yibin Wuliangye Airport,,China,Asia/Shanghai
ZHYC,Yichang Sanxia Airport,,China,Asia/Shanghai
ZYLD,Yichun Lindu Airport,,China,Asia/Shanghai
ZLIC,Yinchuan Hedong International Airport,,China,Asia/Shanghai
ZSYW,Yiwu Airport,,China,Asia/Shanghai
WAHI,Yogyakarta International Airport,,Indonesia,Asia/Jakarta
KYNG,Youngstown Warren Regional Airport,Ohio,United States,America/New_York
KYIP,Willow Run Airport,Michigan,United States,America/New_York
ZLYL,Yulin Yuyang Airport,,China,Asia/Shanghai
KNYL,Yuma International Airport / Marine Corps Air Station Yuma,Arizona,United States,America/Phoenix
ZBYC,Yuncheng Yanhu International Airport,,China,Asia/Shanghai
ZLYS,Yushu Batang Airport,,China,Asia/Shanghai
MMZC,General Leobardo C. Ruiz International Airport,,Mexico,America/Mexico_City
LDZA,Zagreb Franjo Tuman International Airport,,Croatia,Europe/Zagreb
HTZA,Abeid Amani Karume International Airport,,Tanzania,Africa/Dar_es_Salaam
ZGDY,Zhangjiajie Hehua International Airport,,China,Asia/Shanghai
ZBZJ,Zhangjiakou Ningyuan Airport,,China,Asia/Shanghai
ZLZY,Zhangye Ganzhou Airport,,China,Asia/Shanghai
ZGZJ,Zhanjiang Wuchuan International Airport,,China,Asia/Shanghai
ZPZT,Zhaotong Airport,,China,Asia/Shanghai
ZHCC,Zhengzhou Xinzheng International Airport,,China,Asia/Shanghai
ZSZS,Zhoushan Putuoshan International Airport,,China,Asia/Shanghai
ZGSD,Zhuhai Jinwan Airport,,China,Asia/Shanghai
ZUZY,Zunyi Xinzhou Airport,,China,Asia/Shanghai
ZUMT,Zunyi Maotai Airport,,China,Asia/Shanghai
LSZH,Zurich Airport,,Switzerland,Europe/Zurich
