ICAO,Name,State/Territory,Country,Timezone
PGRO,Rota International Airport,,Northern Mariana Islands,Pacific/Saipan
EHRD,Rotterdam The Hague Airport,,Netherlands,Europe/Amsterdam
EFRO,Rovaniemi Airport,,Finland,Europe/Helsinki
KSMF,Sacramento International Airport,California,United States,America/Los_Angeles
KMBS,MBS International Airport,Michigan,United States,America/New_York
PGSN,Saipan International Airport,,Northern Mariana Islands,Pacific/Saipan
KSLE,Salem-Willamette Valley Airport/McNary Field,Oregon,United States,America/Los_Angeles
KSBY,Salisbury Ocean City Wicomico Regional Airport,Maryland,United States,America/New_York
GVAC,Amilcar Cabral International Airport,,Cape Verde,Atlantic/Cape_Verde
SASA,Martin Miguel de Guemes International Airport,,Argentina,America/Argentina/Salta
MMIO,Plan De Guadalupe International Airport,,Mexico,America/Mexico_City
KSLC,Salt Lake City International Airport,Utah,United States,America/Denver
SBSV,Deputado Luiz Eduardo Magalhaes International Airport,,Brazil,America/Fortaleza
LOWS,Salzburg Airport,,Austria,Europe/Vienna
OYSN,Sanaa International Airport,,Yemen,Asia/Aden
KSJT,San Angelo Regional Mathis Field,Texas,United States,America/Chicago
KSAT,San Antonio International Airport,Texas,United States,America/Chicago
SAZS,Teniente Luis Candelaria International Airport,,Argentina,America/Argentina/Salta
KSAN,San Diego International Airport,California,United States,America/Los_Angeles
KSFO,San Francisco International Airport,California,United States,America/Los_Angeles
SLSM,San Ignacio de Moxos Airport,,Bolivia,America/La_Paz
SLJO,San Joaquin Airport,,Bolivia,America/La_Paz
KSJC,Norman Y. Mineta San Jose International Airport,California,United States,America/Los_Angeles
MROC,Juan Santamaria International Airport,,Costa Rica,America/Costa_Rica
MMSD,Los Cabos International Airport,,Mexico,America/Mazatlan
SANU,Domingo Faustino Sarmiento Airport,,Argentina,America/Argentina/San_Juan
TJSJ,Luis Munoz Marin International Airport,,Puerto Rico,America/Puerto_Rico
SAOU,Brigadier Mayor D Cesar Raul Ojeda Airport,,Argentina,America/Argentina/San_Luis
KSBP,San Luis County Regional Airport,California,United States,America/Los_Angeles
MMSP,Ponciano Arriaga International Airport,,Mexico,America/Mexico_City
SAZY,Aviador C. Campos Airport,,Argentina,America/Argentina/Salta
MHLM,Ramon Villeda Morales International Airport,,Honduras,America/Tegucigalpa
SAMR,Suboficial Ay Santiago Germano Airport,,Argentina,America/Mendoza
MYSM,San Salvador International Airport,,Bahamas,America/Nassau
MSLP,El Salvador International Airport Saint Oscar Arnulfo Romero y Galdamez,,El Salvador,America/El_Salvador
KSBA,Santa Barbara Municipal Airport,California,United States,America/Los_Angeles
SLVR,Viru Viru International Airport,,Bolivia,America/La_Paz
SAAV,Sauce Viejo Airport,,Argentina,America/Cordoba
KSAF,Santa Fe Municipal Airport,New Mexico,United States,America/Denver
LPAZ,Santa Maria Airport,,Portugal,Atlantic/Azores
KSMX,Santa Maria Public Airport Captain G Allan Hancock Field,California,United States,America/Los_Angeles
SBSN,Santarem - Maestro Wilson Fonseca International Airport,,Brazil,America/Belem
SAZR,Santa Rosa Airport,,Argentina,America/Argentina/Salta
KSTS,Charles M. Schulz Sonoma County Airport,California,United States,America/Los_Angeles
SCEL,Comodoro Arturo Merino Benitez International Airport,,Chile,America/Santiago
SANE,Vicecomodoro Angel D. La Paz Aragones Airport,,Argentina,America/Cordoba
MDST,Cibao International Airport,,Dominican Republic,America/Santo_Domingo
MDSD,Las Americas International Airport,,Dominican Republic,America/Santo_Domingo
ZJSY,Sanya Phoenix International Airport,,China,Asia/Shanghai
SBSJ,Professor Urbano Ernesto Stumpf Airport,,Brazil,America/Sao_Paulo
SBSP,CongonhasDeputado Freitas Nobre Airport,,Brazil,America/Sao_Paulo
SBGR,Sao Paulo/GuarulhosGovernor Andre Franco Montoro International Airport,,Brazil,America/Sao_Paulo
SBKP,Viracopos International Airport,,Brazil,America/Sao_Paulo
KSRQ,Sarasota Bradenton International Airport,Florida,United States,America/New_York
CYXE,Saskatoon John G. Diefenbaker International Airport,Saskatchewan,Canada,America/Regina
LRSM,Satu Mare International Airport,,Romania,Europe/Bucharest
KCIU,Chippewa County International Airport,Michigan,United States,America/New_York
CYAM,Sault Ste Marie Airport,Ontario,Canada,America/Toronto
KSAV,Savannah Hilton Head International Airport,Georgia,United States,America/New_York
KBFF,Western Neb. Rgnl/William B. Heilig Airport,Nebraska,United States,America/Denver
KSEA,SeattleTacoma International Airport,Washington,United States,America/Los_Angeles
HLLS,Sabha Airport,,Libya,Africa/Tripoli
WARS,Jenderal Ahmad Yani Airport,,Indonesia,Asia/Jakarta
RKSS,Gimpo International Airport,,South Korea,Asia/Seoul
RKSI,Incheon International Airport,,South Korea,Asia/Seoul
CYZV,Sept-Iles Airport,Quebec,Canada,America/Toronto
LEZL,Seville Airport,,Spain,Europe/Madrid
ZSSS,Shanghai Hongqiao International Airport,,China,Asia/Shanghai
ZSPD,Shanghai Pudong International Airport,,China,Asia/Shanghai
ZPDQ,Diqing Shangri-La Airport,,China,Asia/Shanghai
EINN,Shannon Airport,,Ireland,Europe/Dublin
ZGOW,Jieyang Chaoshan International Airport,,China,Asia/Shanghai
OMSJ,Sharjah International Airport,,United Arab Emirates,Asia/Dubai
HESH,Sharm El Sheikh International Airport,,Egypt,Africa/Cairo
OESH,Sharurah Domestic Airport,,Saudi Arabia,Asia/Riyadh
ZYTX,Shenyang Taoxian International Airport,,China,Asia/Shanghai
ZGSZ,Shenzhen Bao'an International Airport,,China,Asia/Shanghai
KSHR,Sheridan County Airport,Wyoming,United States,America/Denver
ZBSJ,Shijiazhuang Zhengding International Airport,,China,Asia/Shanghai
ZHSY,Shiyan Wudangshan Airport,,China,Asia/Shanghai
RJNS,Mount Fuji Shizuoka Airport,,Japan,Asia/Tokyo
KSHV,Shreveport Regional Airport,Louisiana,United States,America/Chicago
KSDY,Sidney - Richland Regional Airport,Montana,United States,America/Denver
VDSR,Siem-Reap,,Cambodia,Asia/Phnom_Penh
ZPSM,Pu'er Simao Airport,,China,Asia/Shanghai
WSSS,Singapore Changi Airport,,Singapore,Asia/Singapore
KSUX,Sioux Gateway Airport / Brigadier General Bud Day Field,Iowa,United States,America/Chicago
KFSD,Sioux Falls Regional Airport,South Dakota,United States,America/Chicago
PASI,Sitka Rocky Gutierrez Airport,Alaska,United States,America/Anchorage
PAGY,Skagway Airport,Alaska,United States,America/Anchorage
PASW,Skwentna Airport,Alaska,United States,America/Anchorage
LBSF,Sofia Airport,,Bulgaria,Europe/Sofia
WAHQ,Surakarta,,Indonesia,Asia/Jakarta
WASS,Domine Eduard Osok Airport,,Indonesia,Asia/Jayapura
EGHI,Southampton Airport,,United Kingdom,Europe/London
KSBN,South Bend International Airport,Indiana,United States,America/New_York
KSOP,Moore County Airport,North Carolina,United States,America/New_York
KSPA,Spartanburg Downtown Memorial Airport,South Carolina,United States,America/New_York
KSPF,Black Hills Airport-Clyde Ice Field,South Dakota,United States,America/Denver
KGEG,Spokane International Airport,Washington,United States,America/Los_Angeles
KSPI,Abraham Lincoln Capital Airport,Illinois,United States,America/Chicago
KSGF,Springfield Branson National Airport,Missouri,United States,America/Chicago
TGPY,Maurice Bishop International Airport,,Grenada,America/Grenada
KDXZ,St. George,Utah,United States,America/Denver
KSGU,St George Regional Airport,Utah,United States,America/Denver
TFFJ,St. Jean Airport,,Saint Barthelemy,America/St_Barthelemy
KSTP,Saint Paul Downtown Holman Field,Minnesota,United States,America/Chicago
KUNV,State College Regional Airport,Pennsylvania,United States,America/New_York
ENZV,"Stavanger Airport, Sola",,Norway,Europe/Oslo
KSTC,Saint Cloud Regional Airport,Minnesota,United States,America/Chicago
TISX,Henry E. Rohlsen Airport,,U.S. Virgin Islands,America/St_Thomas
FMEE,Roland Garros Airport,,Reunion,Indian/Reunion
CYJT,Stephenville Dymond International Airport,Newfoundland And Labrador,Canada,America/St_Johns
KSTE,Stevens Point Municipal Airport,Wisconsin,United States,America/Chicago
TAPA,V. C. Bird International Airport,,Antigua And Barbuda,America/Antigua
CYYT,St. John's International Airport,Newfoundland And Labrador,Canada,America/St_Johns
KSTL,St. Louis Lambert International Airport,Missouri,United States,America/Chicago
ESSA,Stockholm-Arlanda Airport,,Sweden,Europe/Stockholm
KSCK,Stockton Metropolitan Airport,California,United States,America/Los_Angeles
