Aircraft Profile,Full Aircraft Name,Virtual Airlines,Maximum Range,Minimum Takeoff Runway Length,Minimum Landing Runway Length,Passenger Capacity,IATA Equipment Code(s),ETOPS Rating,Maximum Weight,Maximum Zero Fuel Weight,Maximum Takeoff Weight,Maximum Landing Weight,Engine Information,Cruise Speed,Fuel Flow,Base Fuel,Taxi Fuel,Primary Tanks,Primary Percentage,Secondary Tanks,Secondary Percentage,Other Tanks
F28-2000,Fokker F28,DVA,"1,208 Statute Miles","5,500 feet","3,540 feet",79 seats,"F228, F28",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"66,000 pounds","54,500 pounds","65,000 pounds","59,000 pounds",2 x Rolls-Royce Spey Mk 555-15,454 knots,"1,000 pounds per engine per hour",500 pounds,250 pounds,"Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
F28-3000,Fokker F28,DVA,"1,784 Statute Miles","5,500 feet","3,173 feet",65 seats,"F228, F28",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"73,000 pounds","56,142 pounds","73,000 pounds","64,000 pounds",2 x Rolls-Royce Mk 555-15H,454 knots,"1,000 pounds per engine per hour",500 pounds,250 pounds,"Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
F28-4000,Fokker F28-4000,DVA,"1,426 Statute Miles","5,500 feet","3,495 feet",85 seats,"F228, F28",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"73,000 pounds","62,000 pounds","73,000 pounds","69,500 pounds",2 x Rolls-Royce Mk 555-15H,454 knots,"1,000 pounds per engine per hour",500 pounds,250 pounds,"Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
F50,Fokker F-50,"AFV, DVA","1,367 Statute Miles","3,400 feet","3,600 feet",56 seats,F50,,"46,000 pounds","41,665 pounds","45,856 pounds","44,160 pounds",2 x PW127B,272 knots,"1,000 pounds per engine per hour","1,000 pounds",500 pounds,"Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
F70,Fokker F70,"AFV, DVA","2,157 Statute Miles","4,266 feet","3,970 feet",70 seats,F70,This Aircraft is ETOPS-rated (ETOPS60),"85,000 pounds","74,000 pounds","84,000 pounds","79,000 pounds",2 x RR Tay Mk650-15,440 knots,"2,500 pounds per engine per hour","3,000 pounds","1,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
JS32,BAe Jetstream 32,DVA,977 Statute Miles,"2,000 feet","1,700 feet",19 seats,"JS31, JS32",,"16,314 pounds","14,330 pounds","16,204 pounds","15,609 pounds",2 x AlliedSignal TPE-331-12,220 knots,400 pounds per engine per hour,"1,000 pounds",100 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
JS41,BAe Jetstream 41,"AFV, DVA","1,000 Statute Miles","4,700 feet","3,200 feet",29 seats,"JS41, JS42",,"24,110 pounds","21,400 pounds","24,000 pounds","23,300 pounds",2 x AlliedSignal TPE331-14GR/HR turb,290 knots,500 pounds per engine per hour,"1,200 pounds",110 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
L-10,Lockheed L-10A,"AFV, DVA",800 Statute Miles,"2,500 feet","2,500 feet",10 seats,L10A,,"10,800 pounds","8,900 pounds","10,800 pounds","10,000 pounds",2 x 2X P&W R-985 Wasp SB's,190 knots,300 pounds per engine per hour,240 pounds,10 pounds,"Left Main, Right Main",Fill to 99 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
L-100,Lockheed L-100,"AFV, DVA","5,000 Statute Miles",,,0 seats,,,"174,000 pounds",,"174,000 pounds","170,000 pounds",4 x Allison T-56-A-7A,300 knots,"1,120 pounds per engine per hour","2,000 pounds",600 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
L-1011-100,Lockheed L-1011-100,"AFV, DVA","4,574 Statute Miles","7,800 feet","5,900 feet",253 seats,L10,,"437,090 pounds","283,125 pounds","430,000 pounds","369,000 pounds",3 x RR RB211-524,460 knots,"6,325 pounds per engine per hour","5,000 pounds","2,200 pounds","Center, Left Main, Left Aux, Right Main, Right Aux",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
L-1011-500,Lockheed L-1011-500,"AFV, DVA","7,077 Statute Miles","8,500 feet","6,900 feet",234 seats,L15,,"553,866 pounds","340,255 pounds","510,000 pounds","368,000 pounds",3 x RR RB211-524,460 knots,"6,325 pounds per engine per hour","5,000 pounds","2,200 pounds","Center, Left Main, Left Aux, Right Main, Right Aux",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
L-18,Lockheed L-18 Lodestar,DVA,"1,231 Statute Miles","3,000 feet","3,000 feet",18 seats,L18,,"17,500 pounds","15,700 pounds","17,500 pounds","17,500 pounds",2 x 2X Wright R-1830,195 knots,300 pounds per engine per hour,450 pounds,100 pounds,"Left Main, Right Main",Fill to 99 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
