Aircraft Profile,Full Aircraft Name,Virtual Airlines,Maximum Range,Minimum Takeoff Runway Length,Minimum Landing Runway Length,Passenger Capacity,IATA Equipment Code(s),ETOPS Rating,Maximum Weight,Maximum Zero Fuel Weight,Maximum Takeoff Weight,Maximum Landing Weight,Engine Information,Cruise Speed,Fuel Flow,Base Fuel,Taxi Fuel,Primary Tanks,Primary Percentage,Secondary Tanks,Secondary Percentage,Other Tanks
A340-300,Airbus A340-300,"AFV, DVA","8,521 Statute Miles","6,000 feet","6,000 feet",295 seats,"340, 343",,"608,300 pounds","403,300 pounds","606,000 pounds","423,000 pounds",4 x CFM56-5C4,430 knots,"3,700 pounds per engine per hour","5,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Center 3, Left Aux, Right Aux"
A340-500,Airbus A340-500,"AFV, DVA","10,357 Statute Miles","6,000 feet","7,000 feet",313 seats,345,,"821,000 pounds","506,900 pounds","820,100 pounds","535,700 pounds",4 x RR Trent 500,465 knots,"5,275 pounds per engine per hour","6,000 pounds","2,500 pounds","Center, Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Center 2, Left Aux, Right Aux",Fill to 100 percent before filling Other tanks,NONE
A340-600,Airbus A340-600,"AFV, DVA","9,091 Statute Miles","8,500 feet","6,905 feet",380 seats,346,,"813,900 pounds","540,000 pounds","811,300 pounds","571,000 pounds",4 x RR Trent 556,465 knots,"5,775 pounds per engine per hour","6,000 pounds","2,500 pounds","Center, Left Main, Right Main",Fill to 0 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
A350-1000,Airbus A350-1000 XWB,"AFV, DVA","10,012 Statute Miles","9,000 feet","4,500 feet",369 seats,"350, 35K",This Aircraft is ETOPS-rated (ETOPS330),"705,300 pounds","491,631 pounds","703,300 pounds","520,300 pounds",2 x Trent XWB-97,487 knots,"7,500 pounds per engine per hour","8,000 pounds",500 pounds,"Center, Left Main",Fill to 95 percent before filling Secondary tanks,NONE,Fill to 100 percent before filling Other tanks,NONE
A350-900,Airbus A350 XWB,"AFV, DVA","9,321 Statute Miles","7,200 feet","6,400 feet",324 seats,"350, 351, 358, 359",This Aircraft is ETOPS-rated (ETOPS330),"623,908 pounds","432,000 pounds","623,908 pounds","457,000 pounds",2 x Trent XWB-84,487 knots,"12,000 pounds per engine per hour","12,000 pounds","1,000 pounds","Center, Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,NONE,Fill to 100 percent before filling Other tanks,NONE
A380-800,Airbus A380-800,"AFV, DVA","9,444 Statute Miles","9,020 feet","5,000 feet",525 seats,388,,"1,272,067 pounds","813,505 pounds","1,267,658 pounds","868,621 pounds",4 x Engine Alliance GP7000,460 knots,"5,200 pounds per engine per hour","6,000 pounds","3,000 pounds","Center, Center 2, Center 3, Left Main, Left Aux, Left Tip, Right Main, Right Aux, Right Tip",Fill to 95 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
ATR-42,ATR-42,"AFV, DVA",840 Statute Miles,"3,576 feet","2,907 feet",52 seats,"AT4, AT5, AT6, ATR",,"41,380 pounds","36,817 pounds","41,005 pounds","40,344 pounds",2 x PW-127,300 knots,"1,252 pounds per engine per hour","1,894 pounds",528 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 100 percent before filling Other tanks,NONE
ATR-72,ATR-72,"AFV, DVA",949 Statute Miles,"4,373 feet","2,805 feet",70 seats,"AT7, ATR",,"49,978 pounds","44,092 pounds","49,608 pounds","49,272 pounds",2 x PW-127,287 knots,"1,186 pounds per engine per hour","1,894 pounds",528 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
Avro RJ-100,Avro RJ-100,DVA,"1,401 Statute Miles","4,528 feet","3,973 feet",118 seats,RJ,,"102,500 pounds","83,500 pounds","101,500 pounds","88,500 pounds",4 x LF507-1F,414 knots,"1,025 pounds per engine per hour","4,100 pounds",700 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
Avro RJ-70,Avro RJ-70,DVA,"1,687 Statute Miles","4,100 feet","3,550 feet",82 seats,RJ,,"95,000 pounds","74,500 pounds","95,000 pounds","83,500 pounds",4 x LF507-1F,414 knots,"1,025 pounds per engine per hour","4,100 pounds",700 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
Avro RJ-85,Avro RJ-85,"AFV, DVA","1,841 Statute Miles","4,100 feet","3,700 feet",97 seats,RJ,,"101,500 pounds","97,000 pounds","97,000 pounds","85,000 pounds",4 x LF507-1F,414 knots,"1,025 pounds per engine per hour","4,100 pounds",700 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B1900,B1900,"AFV, DVA","1,476 Statute Miles","2,470 feet","1,900 feet",19 seats,BE1,,"17,250 pounds","16,500 pounds","17,120 pounds","16,000 pounds",2 x PW PT6A,400 knots,560 pounds per engine per hour,750 pounds,75 pounds,Center,Fill to 0 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
B247D,Boeing 247D,DVA,748 Statute Miles,"1,500 feet","1,500 feet",10 seats,B247,,"13,650 pounds","13,000 pounds","13,650 pounds","13,650 pounds",2 x P&W R-1340/S1H1-G,170 knots,192 pounds per engine per hour,480 pounds,25 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
B350,Beechcraft King Air 350,DVA,"1,509 Statute Miles","3,300 feet","3,161 feet",6 seats,B350,,"15,000 pounds","12,500 pounds","15,000 pounds","15,000 pounds",2 x Pratt & Whitney Canada PT6A-60A,300 knots,385 pounds per engine per hour,200 pounds,20 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 99 percent before filling Other tanks,NONE
B377,Boeing 377 Stratocruiser,"AFV, DVA","4,200 Statute Miles","4,190 feet","3,500 feet",100 seats,377,,"148,000 pounds","121,695 pounds","147,004 pounds","123,458 pounds",4 x PW R-4360,200 knots,853 pounds per engine per hour,"3,500 pounds",450 pounds,"Left Main, Left Aux, Right Main, Right Aux",Fill to 90 percent before filling Secondary tanks,"Center, Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
B707-120,B707-120,"AFV, DVA","3,100 Statute Miles","5,000 feet","5,000 feet",120 seats,701,,"260,000 pounds","170,000 pounds","257,000 pounds","190,000 pounds",4 x P&W JT3C,450 knots,"3,000 pounds per engine per hour","4,000 pounds","1,500 pounds","Center 2, Center 3, Left Aux, Right Aux",Fill to 95 percent before filling Secondary tanks,"Center, Center 2, Center 3",Fill to 100 percent before filling Other tanks,"Left Main, Right Main"
B707-320,Boeing B707-320C,"AFV, DVA","6,200 Statute Miles","5,000 feet","5,300 feet",149 seats,703,,"322,000 pounds","194,700 pounds","322,000 pounds","246,400 pounds",4 x P&W JT3D-3,480 knots,"2,600 pounds per engine per hour","3,000 pounds","2,000 pounds","Center 2, Center 3, Left Aux, Right Aux",Fill to 100 percent before filling Secondary tanks,"Center, Center 2, Center 3",Fill to 95 percent before filling Other tanks,"Left Main, Right Main"
B717-200,Boeing B717-200,"AFV, DVA","2,060 Statute Miles","5,500 feet","4,650 feet",110 seats,"712, 717",This Aircraft is ETOPS-rated (ETOPS75),"122,000 pounds","100,500 pounds","121,000 pounds","110,000 pounds",2 x Rolls Royce BR715-C1-30,438 knots,"3,000 pounds per engine per hour","2,000 pounds","1,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 100 percent before filling Other tanks,NONE
B720,Boeing B720,"AFV, DVA","3,570 Statute Miles","5,500 feet","5,500 feet",112 seats,,,"235,000 pounds","139,000 pounds","234,000 pounds","175,000 pounds",4 x P&W JT3D-3,450 knots,"2,600 pounds per engine per hour","3,000 pounds","1,500 pounds","Center 2, Center 3, Left Aux, Right Aux",Fill to 95 percent before filling Secondary tanks,"Center, Center 2, Center 3",Fill to 95 percent before filling Other tanks,"Left Main, Right Main"
B727-100,Boeing B727-100,"AFV, DVA","3,107 Statute Miles","3,500 feet","3,900 feet",139 seats,721,,"197,700 pounds","120,000 pounds","197,000 pounds","154,500 pounds",3 x P&W JT8D-9,450 knots,"3,100 pounds per engine per hour","2,000 pounds","1,500 pounds",Center,Fill to 30 percent before filling Secondary tanks,"Left Main, Right Main",Fill to 0 percent before filling Other tanks,NONE
B727-200,Boeing B727-200,"AFV, DVA","2,877 Statute Miles","3,999 feet","3,750 feet",145 seats,"722, 727",,"210,000 pounds","135,400 pounds","209,500 pounds","160,000 pounds",3 x P&W JT8D-17,450 knots,"3,200 pounds per engine per hour","2,500 pounds","1,500 pounds",Center,Fill to 30 percent before filling Secondary tanks,"Left Main, Right Main",Fill to 0 percent before filling Other tanks,NONE
B737 MAX 7,Boeing 737-7 MAX,"AFV, DVA","3,850 Statute Miles","3,000 feet","2,500 feet",135 seats,"37M, 7M7",This Aircraft is ETOPS-rated (ETOPS120),"178,000 pounds","138,700 pounds","177,000 pounds","145,600 pounds",2 x CFM LEAP-1B,425 knots,"2,900 pounds per engine per hour","4,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B737 MAX 8,Boeing 737 MAX 8,"AFV, DVA","4,045 Statute Miles","7,000 feet","5,000 feet",174 seats,"38M, 7M8",This Aircraft is ETOPS-rated (ETOPS180),"181,700 pounds","145,400 pounds","181,200 pounds","152,800 pounds",2 x CFM International Leap 1-B,435 knots,"2,230 pounds per engine per hour","4,000 pounds",800 pounds,"Left Main, Right Main",Fill to 99 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B737 MAX 9,Boeing 737 MAX 9,"AFV, DVA","6,570 Statute Miles","7,000 feet","5,000 feet",178 seats,"39M, 7M9",This Aircraft is ETOPS-rated (ETOPS120),"195,000 pounds","156,506 pounds","194,690 pounds","163,892 pounds",2 x CFM International Leap 1-B,435 knots,"2,230 pounds per engine per hour","4,000 pounds",900 pounds,"Left Main, Right Main",Fill to 99 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,Center
B737-200,B737-200,"AFV, DVA","2,550 Statute Miles","4,000 feet","3,000 feet",102 seats,"732, 73L, 73M, 73X",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS120),"128,600 pounds","95,000 pounds","128,100 pounds","107,000 pounds",2 x P&W JT8D-9,425 knots,"3,100 pounds per engine per hour","5,000 pounds","1,900 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B737-300,B737-300,"AFV, DVA","3,550 Statute Miles","3,500 feet","3,250 feet",128 seats,"733, 73A, 73C, 73N, 73Q",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS120),"140,000 pounds","106,500 pounds","139,500 pounds","116,600 pounds",2 x CFM56-3B2,420 knots,"3,200 pounds per engine per hour","4,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
B737-400,Boeing 737-400,"AFV, DVA","3,350 Statute Miles","3,800 feet","3,450 feet",146 seats,734,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS120),"155,000 pounds","117,000 pounds","150,000 pounds","124,000 pounds",2 x CFM56-3C,420 knots,"3,300 pounds per engine per hour","4,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B737-500,Boeing 737-500,"AFV, DVA","3,550 Statute Miles","3,600 feet","3,200 feet",108 seats,"735, 73E",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS120),"136,500 pounds","103,000 pounds","136,000 pounds","110,000 pounds",2 x CFM56-3B1,420 knots,"3,950 pounds per engine per hour","4,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
B737-600,Boeing 737-600,"AFV, DVA","4,100 Statute Miles","3,000 feet","3,400 feet",108 seats,736,This Aircraft is ETOPS-rated (ETOPS180),"145,000 pounds","114,000 pounds","144,500 pounds","121,500 pounds",2 x CFMI CFM56-7,420 knots,"3,500 pounds per engine per hour","4,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B737-700,Boeing 737-700,"AFV, DVA","4,000 Statute Miles","3,000 feet","3,500 feet",128 seats,"737, 73G, 73R, 73W",This Aircraft is ETOPS-rated (ETOPS180),"155,000 pounds","121,700 pounds","154,500 pounds","129,200 pounds",2 x CFM56-7B26,425 knots,"2,900 pounds per engine per hour","4,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B737-800,Boeing 737-800,"AFV, DVA","3,650 Statute Miles","3,100 feet","3,800 feet",160 seats,"738, 73H, 7S8",This Aircraft is ETOPS-rated (ETOPS180),"174,700 pounds","136,001 pounds","174,200 pounds","146,300 pounds",2 x CFM 56-7B27,435 knots,"2,950 pounds per engine per hour","4,000 pounds",900 pounds,"Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B737-900,Boeing 737-900,"AFV, DVA","3,050 Statute Miles","3,300 feet","4,150 feet",178 seats,"739, 73J",This Aircraft is ETOPS-rated (ETOPS180),"174,700 pounds","138,295 pounds","174,200 pounds","147,300 pounds",2 x CFM56-7B,440 knots,"2,950 pounds per engine per hour","4,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B737-900ER,Boeing 737-900ER,"AFV, DVA","3,660 Statute Miles","3,000 feet","3,975 feet",180 seats,39E,This Aircraft is ETOPS-rated (ETOPS180),"188,200 pounds","149,300 pounds","187,700 pounds","157,300 pounds",2 x CFM56-7B27,440 knots,"2,950 pounds per engine per hour","4,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B737-BBJ1,Boeing 737-700-IGW BBJ1,"AFV, DVA","6,340 Statute Miles","4,700 feet","4,117 feet",30 seats,BBJ,This Aircraft is ETOPS-rated (ETOPS180),"171,500 pounds","126,000 pounds","171,000 pounds","134,000 pounds",2 x CFM56-7B27,425 knots,"2,900 pounds per engine per hour","4,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Center, Center 2, Center 3, Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
B737-BBJ2,Boeing 737-800 BBJ2,DVA,"6,495 Statute Miles","6,170 feet","2,752 feet",78 seats,,This Aircraft is ETOPS-rated (ETOPS180),"175,833 pounds","138,006 pounds","173,833 pounds","145,860 pounds",2 x CFM56-7B27,450 knots,"2,900 pounds per engine per hour","4,000 pounds","1,500 pounds","Center, Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
B747 SP,Boeing 747 SP,"AFV, DVA","6,736 Statute Miles","7,500 feet","7,200 feet",331 seats,74L,,"680,000 pounds","506,000 pounds","660,000 pounds","450,000 pounds",4 x P&W JT9D,535 knots,"5,650 pounds per engine per hour","6,000 pounds","2,000 pounds","Left Aux, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Left Aux, Right Aux"
B747-100,Boeing 747-100,"AFV, DVA","6,100 Statute Miles","9,990 feet","6,100 feet",366 seats,741,,"738,000 pounds","526,500 pounds","735,000 pounds","564,000 pounds",4 x P&W JT9D,470 knots,"5,650 pounds per engine per hour","6,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Left Aux, Right Aux"
B747-200,Boeing 747-200,"AFV, DVA","7,900 Statute Miles","9,990 feet","6,100 feet",366 seats,742,,"836,000 pounds","526,500 pounds","833,000 pounds","630,000 pounds",4 x P&W JT9D,470 knots,"5,650 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Left Aux, Right Aux"
B747-300,Boeing 747-300,"AFV, DVA","7,700 Statute Miles","9,990 feet","6,100 feet",412 seats,743,,"836,000 pounds","542,680 pounds","833,000 pounds","574,000 pounds",4 x GE CF6-80E,470 knots,"5,650 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Left Aux, Right Aux"
B747-400,Boeing 747-400,"AFV, DVA","8,355 Statute Miles","4,800 feet","5,200 feet",446 seats,"744, 747",,"877,000 pounds","555,000 pounds","875,000 pounds","630,000 pounds",4 x P&W PW4060,470 knots,"5,510 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
B747-400D,Boeing 747-400 Domestic,DVA,"2,591 Statute Miles","4,800 feet","5,500 feet",660 seats,74J,,"875,000 pounds","555,000 pounds","875,000 pounds","630,000 pounds",4 x GE CF-6-80C2B1F,490 knots,"5,510 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B747-400ER,Boeing 747-400ER,DVA,"8,730 Statute Miles","6,800 feet","5,200 feet",420 seats,744,,"915,000 pounds","555,000 pounds","910,000 pounds","650,000 pounds",4 x CF6-80C2B5F,470 knots,"5,510 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
B747-400ERF,Boeing 747-400 Extended Range Freighter,"AFV, DVA","5,735 Statute Miles","9,990 feet","7,000 feet",10 seats,"47ERF, 747ERF, 74ERF, 74F",,"913,000 pounds","611,000 pounds","910,000 pounds","666,000 pounds",4 x General Electric CF6-80C2B5F,470 knots,"5,510 pounds per engine per hour","6,000 pounds","3,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux"
B747-400F,Boeing 747-400 Freighter,"AFV, DVA","5,125 Statute Miles","9,950 feet","7,000 feet",10 seats,"74F, 74Y",,"877,000 pounds","610,000 pounds","875,000 pounds","630,000 pounds",4 x P&W PW4060,470 knots,"5,510 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Left Aux, Right Aux"
B747-400M,Boeing 747-400 Combi,DVA,"8,355 Statute Miles","4,800 feet","5,200 feet",268 seats,"74E, 74M",,"877,000 pounds","555,000 pounds","875,000 pounds","630,000 pounds",4 x GE CF6-80C2B1F,470 knots,"5,510 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
B747-8,Boeing 747-8,"AFV, DVA","8,895 Statute Miles","6,200 feet","6,300 feet",467 seats,"748, 74H",,"990,000 pounds","651,000 pounds","987,000 pounds","688,000 pounds",4 x GENX-2B67,470 knots,"5,500 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
B747-8F,Boeing 747-8F,"AFV, DVA","4,908 Statute Miles","9,500 feet","7,000 feet",10 seats,"748F, 74H",,"990,000 pounds","727,000 pounds","987,000 pounds","763,000 pounds",4 x GEnx-2B67,488 knots,"5,500 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
B757-200,Boeing 757-200,"AFV, DVA","4,500 Statute Miles","5,900 feet","4,850 feet",199 seats,"752, 757, 75W",This Aircraft is ETOPS-rated (ETOPS180),"256,000 pounds","184,000 pounds","255,000 pounds","198,000 pounds",2 x P&W PW2037,470 knots,"3,250 pounds per engine per hour","4,000 pounds","1,750 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B757-300,Boeing 757-300,"AFV, DVA","4,000 Statute Miles","5,350 feet","4,660 feet",243 seats,753,This Aircraft is ETOPS-rated (ETOPS180),"273,500 pounds","210,000 pounds","272,500 pounds","224,000 pounds",2 x P&W PW2037,460 knots,"3,550 pounds per engine per hour","6,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B767-200,B767-200,"AFV, DVA","6,000 Statute Miles","6,430 feet","2,300 feet",211 seats,762,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS138),"396,000 pounds","260,000 pounds","395,000 pounds","300,000 pounds",2 x JT9D,460 knots,"4,800 pounds per engine per hour","5,000 pounds","2,100 pounds","Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 100 percent before filling Other tanks,NONE
B767-200ER,B767-200ER,"AFV, DVA","6,000 Statute Miles","6,430 feet","2,300 feet",224 seats,76X,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS180),"396,000 pounds","260,000 pounds","395,000 pounds","300,000 pounds",2 x P&W JT9D,460 knots,"4,800 pounds per engine per hour","5,000 pounds","2,100 pounds","Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 100 percent before filling Other tanks,NONE
B767-300,Boeing 767-300,"AFV, DVA","4,603 Statute Miles","6,430 feet","5,300 feet",261 seats,763,This Aircraft is ETOPS-rated (ETOPS120),"413,000 pounds","278,000 pounds","350,000 pounds","320,000 pounds",2 x P&W PW4600,460 knots,"4,800 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B767-300ER,B767-300ER,"AFV, DVA","6,906 Statute Miles","6,430 feet","5,300 feet",226 seats,"763, 767, 76W",This Aircraft is ETOPS-rated (ETOPS180),"413,000 pounds","295,000 pounds","412,000 pounds","320,000 pounds",2 x P&W JT9D-7R4,460 knots,"4,800 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B767-400ER,Boeing 767-400ER,"AFV, DVA","6,500 Statute Miles","6,430 feet","2,300 feet",246 seats,764,This Aircraft is ETOPS-rated (ETOPS180),"451,000 pounds","330,000 pounds","450,000 pounds","350,000 pounds",2 x P&W PW4600,470 knots,"5,400 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B777-200,Boeing 777-200,"AFV, DVA","6,030 Statute Miles","6,999 feet","5,200 feet",331 seats,777,This Aircraft is ETOPS-rated (ETOPS330),"547,000 pounds","420,000 pounds","545,000 pounds","445,000 pounds",2 x RR Trent 892,480 knots,"8,300 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B777-200ER,Boeing 777-200ER,"AFV, DVA","8,890 Statute Miles","6,999 feet","5,200 feet",313 seats,"772, 77E",This Aircraft is ETOPS-rated (ETOPS330),"656,000 pounds","442,000 pounds","656,000 pounds","470,000 pounds",2 x RR Trent 892,480 knots,"8,300 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B777-200LR,Boeing 777-200LR,"AFV, DVA","11,155 Statute Miles","8,000 feet","5,600 feet",291 seats,"77L, B77L",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS330),"766,132 pounds","547,094 pounds","766,132 pounds","575,099 pounds",2 x GE90-110B1,480 knots,"8,200 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 99 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B777-300,Boeing 777-300,"AFV, DVA","6,939 Statute Miles","9,990 feet","6,000 feet",401 seats,773,This Aircraft is ETOPS-rated (ETOPS330),"662,000 pounds","495,000 pounds","660,000 pounds","524,000 pounds",2 x GE90-9,480 knots,"9,200 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B777-300ER,Boeing 777-300ER,"AFV, DVA","8,481 Statute Miles","9,990 feet","6,000 feet",365 seats,77W,This Aircraft is ETOPS-rated (ETOPS330),"777,000 pounds","529,000 pounds","775,000 pounds","554,000 pounds",2 x GE90-110B1/115B,482 knots,"8,265 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B787-10,Boeing 787-10,"AFV, DVA","7,250 Statute Miles","9,100 feet","7,500 feet",336 seats,"781, 78J",This Aircraft is ETOPS-rated (ETOPS330),"585,000 pounds","425,000 pounds","560,000 pounds","445,000 pounds",2 x Rolls-Royce Trent 1000,488 knots,"6,600 pounds per engine per hour","6,000 pounds",600 pounds,"Left Main, Left Aux, Right Main, Right Aux",Fill to 90 percent before filling Secondary tanks,"Center, Center 2, Center 3",Fill to 0 percent before filling Other tanks,NONE
B787-8,Boeing 787-8,"AFV, DVA","8,720 Statute Miles","8,100 feet","6,300 feet",296 seats,"787, 788",This Aircraft is ETOPS-rated (ETOPS330),"505,000 pounds","355,000 pounds","502,500 pounds","380,000 pounds",2 x RR Trent 1000,490 knots,"5,750 pounds per engine per hour","6,000 pounds",600 pounds,"Left Main, Left Aux, Right Main, Right Aux",Fill to 100 percent before filling Secondary tanks,"Center, Center 2, Center 3",Fill to 100 percent before filling Other tanks,NONE
B787-9,Boeing 787-9,"AFV, DVA","9,550 Statute Miles","9,300 feet","7,200 feet",330 seats,789,This Aircraft is ETOPS-rated (ETOPS330),"560,000 pounds","400,000 pounds","560,000 pounds","425,000 pounds",2 x General Electric GEnx-1B,490 knots,"6,300 pounds per engine per hour","6,000 pounds",600 pounds,"Left Main, Left Aux, Right Main, Right Aux",Fill to 100 percent before filling Secondary tanks,"Center, Center 2, Center 3",Fill to 90 percent before filling Other tanks,NONE
BAE-146,BAE-146,"AFV, DVA","1,200 Statute Miles","4,500 feet","3,000 feet",97 seats,"142, 146, AR8",,"101,500 pounds","97,500 pounds","97,500 pounds","84,500 pounds",4 x ALF 502R-5,414 knots,"1,025 pounds per engine per hour","4,100 pounds",700 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
