ICAO,Name,State/Territory,Country,Timezone,Latitude,Longitude
SBUL,Ten. Cel. Aviador Cesar Bombonato Airport,,Brazil,America/Sao_Paulo,-18.88361168,-48.22527695
WAAA,Sultan Hasanuddin International Airport,,Indonesia,Asia/Makassar,-5.061629772,119.5540008544922
ZMUB,Buyant-Ukhaa International Airport,,Mongolia,Asia/Ulaanbaatar,47.84310150146485,106.76699829101562
RKPU,Ulsan Airport,,South Korea,Asia/Seoul,35.59349823,129.352005
ZWWW,Urumqi Tianshan International Airport,,China,Asia/Shanghai,43.90710067749024,87.47419738769531
SAWH,Ushuaia - Malvinas Argentinas International Airport,,Argentina,America/Argentina/Ushuaia,-54.8433,-68.2958
EFVA,Vaasa Airport,,Finland,Europe/Helsinki,63.05070114,21.7621994
KEGE,Eagle County Regional Airport,Colorado,United States,America/Denver,39.64260101,-106.9179993
KVLD,Valdosta Regional Airport,Georgia,United States,America/New_York,30.78249931335449,-83.27670288
LEVC,Valencia Airport,,Spain,Europe/Madrid,39.48929977416992,-0.481624991
CYVR,Vancouver International Airport,British Columbia,Canada,America/Vancouver,49.19390106,-123.1839981
MUVR,Juan Gualberto Gomez International Airport,,Cuba,America/Havana,23.034400939941406,-81.43530273
LIPZ,Venice Marco Polo Airport,,Italy,Europe/Rome,45.505299,12.3519
MMVR,General Heriberto Jara International Airport,,Mexico,America/Mexico_City,19.14590073,-96.18730164
KVRB,Vero Beach Regional Airport,Florida,United States,America/New_York,27.65559959,-80.41790009
LIPX,Verona Villafranca Valerio Catullo Airport,,Italy,Europe/Rome,45.395699,10.8885
CYYJ,Victoria International Airport,British Columbia,Canada,America/Vancouver,48.64690018,-123.4260025
FVFA,Victoria Falls International Airport,,Zimbabwe,Africa/Harare,-18.09589958,25.839000701904297
KVCT,Victoria Regional Airport,Texas,United States,America/Chicago,28.85260009765625,-96.91850281
KVCV,Southern California Logistics Airport,California,United States,America/Los_Angeles,34.597499847399995,-117.3830032
LOWW,Vienna International Airport,,Austria,Europe/Vienna,48.11029816,16.56970024
VLVT,Wattay International Airport,,Laos,Asia/Vientiane,17.988300323500003,102.5630035
LEVX,Vigo Airport,,Spain,Europe/Madrid,42.23180008,-8.62677002
MMVA,Carlos Rovirosa Perez International Airport,,Mexico,America/Mexico_City,17.996999740600586,-92.81739807
EYVI,Vilnius International Airport,,Lithuania,Europe/Vilnius,54.63410186767578,25.28580093383789
KMVY,Martha's Vineyard Airport,Massachusetts,United States,America/New_York,41.39310074,-70.61430359
VVVH,Vinh Airport,,Vietnam,Asia/Saigon,18.73760033,105.6709976
TUPW,Virgin Gorda Airport,,British Virgin Islands,America/Tortola,18.446399688720703,-64.42749786
SBVT,Eurico de Aguiar Salles International Airport,,Brazil,America/Sao_Paulo,-20.25805664,-40.2863884
KACT,Waco Regional Airport,Texas,United States,America/Chicago,31.611299514770508,-97.23049927
OEWD,Wadi Al Dawasir Domestic Airport,,Saudi Arabia,Asia/Riyadh,20.504299163800003,45.19960022
YSWG,Wagga Wagga Airport,New South Wales,Australia,Australia/Sydney,-35.16529846,147.4660034
PWAK,Wake Island Airfield,,United States Minor Outlying Islands,Pacific/Johnston,19.282100677490234,166.63600158691406
KALW,Walla Walla Regional Airport,Washington,United States,America/Los_Angeles,46.09489822,-118.288002
ZUWX,Wanzhou Wuqiao Airport,,China,Asia/Shanghai,30.8017,108.433
EPWA,Warsaw Chopin Airport,,Poland,Europe/Warsaw,52.16569901,20.96710014
KIAD,Washington Dulles International Airport,Virginia,United States,America/New_York,38.94449997,-77.45580292
KDCA,Ronald Reagan Washington National Airport,District Of Columbia,United States,America/New_York,38.8521,-77.037697
